"id","numero_serie","tension_r","corriente_r","potencia_a_r","potencia_r_r","tension_s","corriente_s","potencia_a_s","potencia_r_s","tension_t","corriente_t","potencia_a_t","potencia_r_t","temporal_placa","temporal_server","update"
5322,"28562F60A8D8","227.1715393000","16.3400840800","614.1745605000","3651.4724120000","227.5945740000","17.4598312400","575.6294556000","3918.9729000000","229.7017517000","17.4122524300","805.8236084000","3909.6752930000","2025-12-30 00:05:02-03","2025-12-30 05:01:59-03",NULL
5323,"28562F60A8D8","228.0493927000","16.4521083800","608.6273193000","3693.7319340000","227.9668427000","17.6148529100","577.8552246000","3961.7751460000","230.5865936000","17.5376911200","824.9957275000","3951.3874510000","2025-12-30 00:05:33-03","2025-12-30 05:01:59-03",NULL
5324,"28562F60A8D8","228.5821838000","16.4197006200","621.3256226000","3692.4436040000","228.2729645000","17.5935230300","570.1030273000","3962.8854980000","231.0449524000","17.6009941100","833.2387085000","3972.3095700000","2025-12-30 00:06:03-03","2025-12-30 05:02:00-03",NULL
5325,"28562F60A8D8","226.8063049000","16.1626663200","612.5416870000","3605.8403320000","227.3483734000","17.3017120400","565.6795044000","3880.4875490000","229.5426941000","17.2944145200","805.7030640000","3879.4882810000","2025-12-30 00:06:31-03","2025-12-30 05:02:00-03",NULL
5326,"28562F60A8D8","227.1306763000","16.2476444200","605.0704956000","3631.6528320000","226.9683228000","17.4019947100","565.5419922000","3896.8986820000","229.3559723000","17.3440132100","811.5134277000","3887.1684570000","2025-12-30 00:07:01-03","2025-12-30 05:02:00-03",NULL
5327,"28562F60A8D8","225.8045502000","15.9287853200","608.2896729000","3537.4384770000","226.0952148000","16.9941692400","549.6443481000","3792.3300780000","228.3071136000","17.0265255000","785.5404053000","3801.1857910000","2025-12-30 00:07:42-03","2025-12-30 05:02:00-03",NULL
5328,"28562F60A8D8","226.2269592000","15.9689331100","602.2976685000","3553.8457030000","226.3712311000","17.1529884300","551.9688110000","3831.9426270000","228.5107269000","17.1212253600","808.2224731000","3821.0808110000","2025-12-30 00:08:02-03","2025-12-30 05:02:00-03",NULL
5329,"28562F60A8D8","225.1941681000","18.3767833700","2146.8037110000","3532.7988280000","225.2865906000","19.1032257100","2095.8156740000","3750.2541500000","227.9424591000","19.5693950700","2345.7875980000","3788.5686040000","2025-12-30 00:08:33-03","2025-12-30 05:02:01-03",NULL
5330,"28562F60A8D8","226.3250122000","18.3530616800","2121.3542480000","3564.4875490000","226.3658905000","18.9897632600","2061.0815430000","3762.2629390000","228.5905151000","19.4519863100","2292.3000490000","3803.6691890000","2025-12-30 00:09:16-03","2025-12-30 05:02:01-03",NULL
5331,"28562F60A8D8","227.0249939000","16.2581653600","611.7985229000","3631.8806150000","227.5430603000","17.3952312500","567.5113525000","3905.7495120000","229.4572601000","17.3599185900","808.8812866000","3893.0253910000","2025-12-30 00:09:31-03","2025-12-30 05:02:01-03",NULL
5332,"28562F60A8D8","226.7805023000","16.2314891800","604.9302368000","3622.6401370000","227.0583191000","17.2387275700","571.6289063000","3860.2829590000","229.4787750000","17.2211990400","786.3107300000","3865.7512210000","2025-12-30 00:10:14-03","2025-12-30 05:02:01-03",NULL
5333,"28562F60A8D8","226.3718719000","16.1461505900","609.5340576000","3596.0041500000","226.4945679000","17.0795936600","565.1448364000","3815.5500490000","228.7034607000","17.1004982000","772.9609985000","3826.9387210000","2025-12-30 00:10:31-03","2025-12-30 05:02:01-03",NULL
5334,"28562F60A8D8","226.2754669000","16.1722412100","599.3788452000","3602.0554200000","226.4201050000","17.1185874900","579.7673950000","3821.6252440000","228.8159180000","17.0447845500","776.6412354000","3816.1125490000","2025-12-30 00:11:02-03","2025-12-30 05:02:02-03",NULL
